tags,instruction,category,intent,response,pure_unicode,mixed_unicode,romanized,pure_unicode_rev,__index_level_0__
BCIPZ,"I would like to acivate a card, can you help me?",CARD,activate_card,"I'm here to assist you with that! Activating your card is an important step to starting and enjoying its benefits. Here's how you can activate your card:

1. Locate the activation instructions: Depending on the card issuer, you may find the activation instructions on a sticker attached to the card itself, in the welcome package, or on the issuer's website.

2. Visit the card issuer's activation website: Using your computer or mobile device, open a web browser and navigate to the card issuer's website. Look for the activation page or section.

3. Enter the required information: Follow the prompts on the activation page and provide the necessary information. This may include your card number, personal details, and security code.

4. Set up your card: Once you've entered the required information, you may have the option to set up a PIN, create an online account, or choose additional security features. Follow the instructions provided.

5. Confirm activation: After entering all the necessary details and setting up any additional features, review the information you've provided and click on the ""Activate"" or ""Confirm"" button. 

6. Await confirmation: In most cases, you'll receive a confirmation message either on the website or through email or SMS indicating that your card has been successfully activated.

If you encounter any issues during the activation process or have any questions, please don't hesitate to reach out. I'm here to assist you every step of the way!","म कार्ड सक्रिय गर्न चाहन्छु, के तपाई मलाई मद्दत गर्न सक्नुहुन्छ?","म card activate गर्न चाहन्छु, के तपाई मलाई help गर्न सक्नुहुन्छ?","ma card activate garna chahanchu, ke tapai malai maddat garna saknuhunchha?",,0
BCILZ,"I have to activate an Visa online, how can I do it?",CARD,activate_card,"I'm here to assist you with activating your {{Credit Card}} online. To activate your {{Credit Card}}, please follow these steps:

1. Visit the official website of your card issuer.
2. Look for the ""Activate Card"" or ""Card Activation"" option.
3. Click on the option and enter your card details as requested. This may include your card number, expiration date, CVV, and personal information.
4. Follow the prompts to complete the activation process.
5. Once successfully activated, your {{Credit Card}} will be ready to use.

If you encounter any issues during the activation process or have any further questions, please don't hesitate to reach out. Happy to help!","मलाई अनलाइन भिसा सक्रिय गर्नुपर्छ, म कसरी गर्न सक्छु?","मलाई online Visa activate गर्नुपर्छ, म कसरी गर्न सक्छु?","malai online visa activate garnu parne, ma kasari garna sakchu?",,1
BCIPQZ,I'd like to actiate a card where do i do it,CARD,activate_card,"I can help you with that! Activating your card is easy. Here's what you need to do:

1. If you received your card by mail, it may already be activated. Check the instructions that came with your card or any activation sticker.
2. If you need to activate your card online, visit our website at {{Company Website URL}}.
3. Look for the ""Card Activation"" or ""Activate Card"" section on our website.
4. Enter the required information, such as your card number, name, and other details as prompted.
5. Follow the on-screen instructions to complete the activation process.
6. If you encounter any issues or need further assistance, feel free to contact our Customer Support team at {{Customer Support Phone Number}}. They're available {{Customer Support Working Hours}} and will be happy to assist you.

Once your card is activated, you'll be ready to start using it. If you have any other questions or need additional help, please let me know!","म कार्ड सक्रिय गर्न चाहन्छु, म कहाँ गर्न सक्छु?","म card activate गर्न चाहन्छु, म कहाँ गर्ने?","ma card sakriya garna chahanchu, ma kaha garne?",,2
BCLPQZ,I'd likke to activate a visa on mobile i need assistance,CARD,activate_card,"I'm here to assist you with activating your {{Credit Card}} on your mobile device. Activating your card is a simple process. Here's what you need to do:

1. Download the {{Banking App}} from your app store and log in to your account.
2. Navigate to the ""{{Card Services}}"" or ""{{Manage Cards}}"" section.
3. Look for the option to activate your card and select it.
4. Follow the on-screen prompts to enter the required information, such as your card number, expiration date, and CVV.
5. Once you've entered the necessary details, submit the activation request.
6. You may be asked to create a PIN for your card during the activation process.

If you encounter any difficulties or have any questions along the way, please don't hesitate to reach out. I'm here to help you throughout the activation process.","म मोबाइलमा भिसा सक्रिय गर्न चाहन्छु, मलाई सहायता चाहिन्छ।","म mobile मा Visa activate गर्न चाहन्छु, मलाई assistance चाहिन्छ।","ma mobile ma visa activate garna chahanchu, malai sahayata chaiyo.",,3
BCILPZ,"I would ilke to activate a credit card online, will you help me?",CARD,activate_card,"I'm here to assist you with activating your credit card online. Activating your credit card is a simple and convenient process. Here's what you need to do:

1. Visit the website of your credit card provider.
2. Look for the ""Activate Card"" or ""Card Activation"" option. It is usually located in the ""Services"" or ""Customer Support"" section.
3. Click on the option and follow the prompts to enter the required information, such as your card number, expiration date, and security code.
4. Once you've entered the necessary details, verify the information and submit the activation request.
5. In some cases, you may need to create an online account or log in to an existing account before activating your card.

If you encounter any difficulties or have any questions during the activation process, feel free to reach out to the customer support team of your credit card provider. They will be more than happy to assist you further.

Please note that it's important to keep your credit card information secure and never share it with anyone.","म अनलाइन क्रेडिट कार्ड सक्रिय गर्न चाहन्छु, के तपाई मलाई मद्दत गर्नुहुन्छ?","म online credit card activate गर्न चाहन्छु, के तपाई मलाई help गर्नुहुन्छ?","ma online credit card activate garna chahanchu, ke tapai malai maddat garnuhunchha?",,4
BLZ,activate a cfredit card,CARD,activate_card,"I'm here to help you activate your credit card. To get started, please follow these steps:

1. Locate the sticker on the front of your credit card containing the activation instructions.
2. You may need to visit the bank's website or call their customer service number to complete the activation process. The contact details can be found on the back of your credit card or in the instruction booklet provided with your card.
3. Follow the prompts on the website or provide the necessary information over the phone to activate your card.
4. Once the activation process is complete, you should receive a confirmation message or email.

If you encounter any issues or need further assistance, don't hesitate to reach out to the bank's customer service team at {{Customer Service Phone Number}}. They will be more than happy to guide you through the activation process.

Let me know if there's anything else I can assist you with!",क्रेडिट कार्ड सक्रिय गर्नुहोस्,credit card activate गर्नुहोस्,credit card activate गर्नुहोस्,,5
BCIPZ,"I received a new card and I want to activate it, will oyu help me?",CARD,activate_card,"Congratulations on receiving your new card! I'd be more than happy to assist you with the activation process. 

To activate your card, you have a few options:

1. Online Activation: Visit our website and look for the card activation section. You'll need to provide some key information, such as your card details and personal information, to verify your identity and activate the card.

2. Phone Activation: You can also activate your card by calling our dedicated activation hotline. The customer service representative will guide you through the necessary steps and ensure your card is activated securely.

3. Mobile App Activation: If we have a mobile app available, you can download it and use the app to activate your card. Look for the card activation feature within the app and follow the prompts to complete the activation process.

Whichever method you choose, please make sure to have your new card and any other relevant information handy to expedite the activation process. If you encounter any difficulties or have further questions, don't hesitate to reach out. We're here to help you activate your card smoothly.","मलाई नयाँ कार्ड प्राप्त भएको छ र म यसलाई सक्रिय गर्न चाहन्छु, के तपाई मलाई मद्दत गर्नुहुन्छ?","मलाई नयाँ card प्राप्त भएको छ र म यसलाई activate गर्न चाहन्छु, के तपाई मलाई help गर्नुहुन्छ?","malai naya card prapt bhayeko chha ra ma yaslai activate garna chahanchu, ke tapai malai maddat garnuhunchha?",,6
BLPQ,id like to activate a visa online,CARD,activate_card,"I'm here to assist you with activating your visa card online. Activating your visa card is a quick and easy process. Here's what you need to do:

1. Visit our website at {{Company Website URL}} and log in to your account using your registered credentials.
2. Navigate to the ""Account"" or ""Profile"" section.
3. Look for the ""Card Activation"" or ""Activate Card"" option.
4. Click on it and follow the on-screen instructions to provide the necessary details for card activation.
5. Once you've completed the activation process, your visa card will be ready to use for online and offline purchases.

If you face any issues or require further assistance during the activation process, please don't hesitate to reach out. We're here to help make your activation experience as seamless as possible!",म अनलाइन भिसा सक्रिय गर्न चाहन्छु।,म online visa activate गर्न चाहन्छु।,ma online visa activate garna chahanchu.,,7
BCIPZ,"I got to activaste a card, could I get some help?",CARD,activate_card,"I'm here to assist you with activating your card. Activating a card is a simple process. Please follow the steps below:

1. Visit our website at {{Company Website URL}}.
2. Log in to your account using your credentials. If you don't have an account yet, you can create one by clicking on the ""Sign Up"" button.
3. Once you're logged in, navigate to the ""Cards"" or ""Account"" section.
4. Look for the option to activate your card. It might be labeled as ""Activate Card"" or something similar.
5. Click on the activation link and follow the prompts to complete the activation process.
6. If you encounter any difficulties or have any questions along the way, feel free to reach out to our customer support team. They are available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Company Website URL}}.

Congratulations on your new card! If you have any other questions or need further assistance, please let me know.","मलाई कार्ड सक्रिय गर्नुपर्छ, के म केही मद्दत पाउन सक्छु?","मलाई card activate गर्नुपर्छ, के म केही help पाउन सक्छु?","malai card activate garnu parne, ke ma kehi maddat paun sakchu?",,8
BCIPZ,"I have to activatean Amex on mobile, will you help me?",CARD,activate_card,"I'm here to assist you with activating your American Express card on your mobile device. Follow these steps to get it done:

1. Download the official American Express mobile app from your device's app store.
2. Open the app and sign in to your account using your credentials.
3. Once you're logged in, navigate to the ""Account Services"" or ""Card Management"" section.
4. Look for an option like ""Activate a Card"" or ""Card Activation"" and tap on it.
5. Follow the on-screen instructions to provide the necessary details such as your card number, expiration date, and security code.
6. Once you've entered the required information, tap on ""Activate"" or ""Submit"" to complete the process.

If you encounter any difficulties or have any questions during the activation process, feel free to reach out to the American Express customer support team at {{American Express Customer Support Phone Number}}. They are available {{American Express Customer Support Working Hours}} and will be more than happy to assist you.

Enjoy using your newly activated {{Credit Card}} on your mobile device!","मलाई मोबाइलमा अमेक्स सक्रिय गर्नुपर्छ, के तपाई मलाई मद्दत गर्नुहुन्छ?","मलाई mobile मा Amex activate गर्नुपर्छ, के तपाई मलाई help गर्नुहुन्छ?","malai mobile ma amex activate garnu parne, ke tapai malai maddat garnuhunchha?",,9
